nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Tugu cot mane,Aceh,Aceh Barat Daya,Tugu cot mane Aceh Barat Daya,"3.7627782,96.8225032",Landmark,3.7627782,96.8225032
TUGU BPD BLANGPIDIE,Aceh,Aceh Barat Daya,TUGU BPD BLANGPIDIE Aceh Barat Daya,"3.7376676,96.8339356",Landmark,3.7376676,96.8339356
Air Terjun,Jawa Barat,Desa Pagandaran,Air Terjun Desa Pagandaran,"-7.721905,108.659707",Air Terjun,-7.721905,108.659707
Air Terjun Anenderat,Papua Barat Daya,Tambrauw,Distrik Miyah,"-0.8699723,132.7346929",Air Terjun,-0.8699723,132.7346929
Air Terjun Bantimurung,Sulawesi Selatan,Sulawesi,Air Terjun Bantimurung Sulawesi,"-5.0165199,119.6855203",Air Terjun,-5.0165199,119.6855203
Air Terjun Bulu Langi,Sulawesi Selatan,Sulawesi,Air Terjun Bulu Langi Sulawesi,"-3.2978811,119.7353132",Air Terjun,-3.2978811,119.7353132
Air Terjun Coban Kromo,Jawa Timur,Tulungagung,Air Terjun Coban Kromo Tulungagung,"-8.1608565,111.8892288",Air Terjun,-8.1608565,111.8892288
Air Terjun Jammeng,Sulawesi Selatan,Sulawesi,Air Terjun Jammeng Sulawesi,"-6.2664018,120.5258454",Air Terjun,-6.2664018,120.5258454
Air Terjun Jumog,Jawa Tengah,Karanganyar,Air Terjun Jumog Karanganyar,"-7.6312129,111.1269212",Air Terjun,-7.6312129,111.1269212
Air Terjun Kalipait,Jawa Timur,Bondowoso,Air Terjun Kalipait Bondowoso,"-8.0625041,114.216544",Air Terjun,-8.0625041,114.216544
Air Terjun Lawean,Jawa Timur,Tulungagung,Air Terjun Lawean Tulungagung,"-7.8824527,111.7971947",Air Terjun,-7.8824527,111.7971947
Air Terjun Parang Ijo,Jawa Tengah,Karanganyar,Air Terjun Parang Ijo Karanganyar,"-7.6218307,111.1340236",Air Terjun,-7.6218307,111.1340236
Air Terjun Pelabian,Jambi,Tanjung Jabung Barat,Air Terjun Pelabian Tanjung Jabung Barat,"-1.1218999,102.959056",Air Terjun,-1.1218999,102.959056
Air Terjun Saka Dua,Kalimantan Barat,Sanggau,Air Terjun Saka Dua Sanggau,"-0.0408918,110.5366195",Air Terjun,-0.0408918,110.5366195
air terjun sarasaah nyiak sabi,Sumatera Barat,Agam,air terjun sarasaah nyiak sabi Agam,"-0.1179092,100.302135",Air Terjun,-0.1179092,100.302135
Air Terjun Sri Gethuk,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,Air Terjun Sri Gethuk Kabupaten Gunungkidul,"-7.9432134,110.4895782",Air Terjun,-7.9432134,110.4895782
Air Terjun Studio Alam,Jawa Timur,Magetan,Air Terjun Studio Alam Magetan,"-7.6547379,111.1879618",Air Terjun,-7.6547379,111.1879618
Air Terjun Tanggendu,Nusa Tenggara Timur,Kecamatan Kanatang,Air Terjun Tanggendu Kecamatan Kanatang,"-9.5745182,120.0908408",Air Terjun,-9.5745182,120.0908408
Air Terjun Tangkup Krisik,Bali,Bangli,Air Terjun Tangkup Krisik Bangli,"-8.4575023,115.3877655",Air Terjun,-8.4575023,115.3877655
Air Terjun Telunjuk Raung,Jawa Timur,Banyuwangi,Songgon,"-8.1717934,114.1419868",Air Terjun,-8.1717934,114.1419868
Air Terjun Temburun,Kepulauan Riau,Kepulauan Anambas,Air Terjun Temburun Kepulauan Anambas,"3.1819543,106.271721",Air Terjun,3.1819543,106.271721
Air Terjun Tukad Cepung,Bali,Bangli,Air Terjun Tukad Cepung Bangli,"-8.4423213,115.3879035",Air Terjun,-8.4423213,115.3879035
Air Terjun Waimarang,Nusa Tenggara Timur,Sumba Timur,Air Terjun Waimarang Sumba Timur,"-9.9688207,120.6028936",Air Terjun,-9.9688207,120.6028936
Balai Adat Melayu Pulau Penyengat,Kepulauan Riau,Tanjungpinang,Balai Adat Melayu Pulau Penyengat Tanjungpinang,"0.9273128,104.4146953",Pulau,0.9273128,104.4146953
Balai Budaya  Kampung Tradisional Tuksono,Daerah Istimewa Yogyakarta,Kulonprogo,Balai Budaya  Kampung Tradisional Tuksono Kulonprogo,"-7.8830448,110.251944",Lainnya,-7.8830448,110.251944
Balai Desa Kedungjati,Jawa Tengah,Purbalingga,JL Bukateja  Kutawis KM,"-7.4266177,109.4472203",Lainnya,-7.4266177,109.4472203
Balai kesenian park,DKI Jakarta,Daerah Khusus ibukota Jakarta,Balai kesenian park Daerah Khusus ibukota Jakarta,"-6.1685719,106.7355221",Lainnya,-6.1685719,106.7355221
Balai Padukuhan Taruban Wetan,Daerah Istimewa Yogyakarta,Kulonprogo,Balai Padukuhan Taruban Wetan Kulonprogo,"-7.8784679,110.2373375",Lainnya,-7.8784679,110.2373375
Balai Penelitian Tanaman Obat dan Aromatik,Jawa Barat,Bogor,Balai Penelitian Tanaman Obat dan Aromatik Bogor,"-6.5763989,106.7856259",Lainnya,-6.5763989,106.7856259
Balai Pengelolaan Taman Budaya,Jawa Barat,Kota Bandung,Balai Pengelolaan Taman Budaya Kota Bandung,"-6.868279,107.6204483",Taman,-6.868279,107.6204483
Balai Tahura,Banten,Pandeglang,Kabupaten Pandeglang Banten,"-6.2926599,105.8412076",Lainnya,-6.2926599,105.8412076
Balaimai,Papua Tengah,Puncak,Balaimai Puncak,"-3.3296852,136.9811818",Lainnya,-3.3296852,136.9811818
Banda Neira,Kecamatan Banda,Maluku,Kabupaten Maluku Tengah,4.5167036°S 129.9030304°E,Lainnya,-4.5167036,129.9030304
Beach,Nusa Tenggara Timur,Nagekeo,Beach Nagekeo,"-8.7922035,121.4108667",Lainnya,-8.7922035,121.4108667
Beach Food Court,DKI Jakarta,Daerah Khusus ibukota Jakarta,Beach Food Court Daerah Khusus ibukota Jakarta,"-6.1204679,106.8467899",Lainnya,-6.1204679,106.8467899
