nama,provinsi,kabupaten_kota,alamat,titik_koordinat
Gunung Bromo,Jawa Timur,Pasuruan,"Gunung Bromo, Pasuruan","-7.9420691,112.9529769"
Patung Karapan Sapi,Jawa Timur,Surabaya,"Patung Karapan Sapi, Surabaya","-7.2729404,112.742264"
Tugu Nol Kilometer,Aceh اچيه,Sabang,"Tugu Nol Kilometer, Sabang","5.9059272,95.2168533"
Candi Sambisari,Daerah Istimewa Yogyakarta,Sleman,"Candi Sambisari, Sleman","-7.7623668,110.446949"
Candi Gebang,Daerah Istimewa Yogyakarta,Sleman,"Candi Gebang, Sleman","-7.7514278,110.416224"
Candi Kul Kul,,Daerah Khusus ibukota Jakarta,"Candi Kul Kul, Daerah Khusus ibukota Jakarta","-6.1219264,106.8393104"
Monumen Seulawah,Aceh اچيه,Banda Aceh,"Monumen Seulawah, Banda Aceh","5.5492025,95.3129917"
Gunung Mas Tea Plantation Entry Point,Jawa Barat,Kab Bogor,"Gunung Mas Tea Plantation Entry Point, Kab Bogor","-6.7029813,106.9715588"
Kolam Alam Tilangnga',Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Kolam Alam Tilangnga', Tana Toraja","-3.035305,119.8873106"
Pantai Jakat,Bengkulu,Bengkulu,"Pantai Jakat, Bengkulu","-3.7818528,102.2606734"
Candi Gunung Wukir,Jawa Tengah,Magelang,"Candi Gunung Wukir, Magelang","-7.6342417,110.2968186"
Candi Sojiwan,Jawa Tengah,Klaten,"Candi Sojiwan, Klaten","-7.7608885,110.4961263"
Candi Umbul,Jawa Tengah,Magelang,"Candi Umbul, Magelang","-7.359577,110.297108"
Monumen Titik Nol ITS,Jawa Timur,Surabaya,"Monumen Titik Nol ITS, Surabaya","-7.2857299,112.7956292"
Patung Sigale Gale,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Patung Sigale Gale, Samosir","2.6518535,98.8608994"
Curug Pinang,Jawa Tengah,Purwokerto,"Curug Pinang, Purwokerto","-7.31114,109.2368298"
Pantai Camplong,Jawa Timur,Sampang,"Pantai Camplong, Sampang","-7.2171024,113.3187691"
